lind	locus
1422	L4360
1423	L4363
1424	L4372
1425	L4373
1426	L4375
1427	L4377
1428	L4380
1429	L4383
1430	L4384
1431	L4386
1432	L4394
1433	L4396
1434	L4397
1435	L4398
1436	L4404
1437	L4410
1438	L4411
1439	L4412
1440	L4422
1441	L4423
1442	L4436
1443	L4438
1444	L4440
1445	L4443
1446	L4453
1447	L4456
1448	L4461
1449	L4463
1450	L4467
1451	L4468
1452	L4470
1453	L4473
1454	L4475
1455	L4477
1456	L4480
1457	L4482
1458	L4484
1459	L4485
1460	L4495
1461	L4501
1462	L4504
1463	L4508
1464	L4509
1465	L4517
1466	L4519
1467	L4521
1468	L4522
1469	L4523
1470	L4524
1471	L4527
1472	L4532
1473	L4535
1474	L4536
1475	L4542
1476	L4543
1477	L4547
1478	L4550
1479	L4553
1480	L4560
1481	L4569
1482	L4577
1483	L4579
1484	L4581
1485	L4582
1486	L4584
1487	L4586
1488	L4590
1489	L4592
1490	L4594
1491	L4595
1492	L4599
1493	L4601
1494	L4602
1495	L4603
1496	L4604
1497	L4606
1498	L4609
1499	L4610
1500	L4613
1501	L4615
1502	L4617
1503	L4618
1504	L4621
1505	L4622
1506	L4623
1507	L4625
1508	L4634
1509	L4636
1510	L4637
1511	L4638
1512	L4639
1513	L4640
1514	L4641
1515	L4644
1516	L4653
1517	L4654
1518	L4655
1519	L4658
1520	L4660
1521	L4662
1522	L4668
1523	L4677
1524	L4683
1525	L4684
1526	L4685
1527	L4687
1528	L4698
1529	L4705
1530	L4708
1531	L4712
1532	L4716
1533	L4720
1534	L4726
1535	L4727
1536	L4734
1537	L4736
1538	L4738
1539	L4742
1540	L4745
1541	L4748
1542	L4753
1543	L4754
1544	L4757
1545	L4759
1546	L4764
1547	L4765
1548	L4771
1549	L4772
1550	L4775
1551	L4779
1552	L4780
1553	L4782
1554	L4784
1555	L4785
1556	L4788
1557	L4790
1558	L4793
1559	L4796
1560	L4799
1561	L4802
1562	L4806
1563	L4810
1564	L4811
1565	L4812
1566	L4813
1567	L4816
1568	L4818
1569	L4821
1570	L4826
1571	L4829
1572	L4830
1573	L4835
1574	L4843
1575	L4849
1576	L4853
1577	L4855
1578	L4856
1579	L4857
1580	L4859
1581	L4865
1582	L4867
1583	L4870
1584	L4872
1585	L4879
1586	L4883
1587	L4884
1588	L4885
1589	L4891
1590	L4894
1591	L4900
1592	L4905
1593	L4909
1594	L4915
1595	L4916
1596	L4921
1597	L4923
1598	L4929
1599	L4935
1600	L4939
1601	L4940
1602	L4945
1603	L4946
1604	L4947
1605	L4950
1606	L4952
1607	L4953
1608	L4957
1609	L4960
1610	L4961
1611	L4965
1612	L4966
1613	L4967
1614	L4970
1615	L4972
1616	L4973
1617	L4975
1618	L4977
1619	L4978
1620	L4980
1621	L4983
1622	L4984
1623	L4985
1624	L4992
1625	L4993
1626	L4997
1627	L4998
1628	L5003
1629	L5006
1630	L5007
1631	L5008
1632	L5010
1633	L5016
1634	L5021
1635	L5022
1636	L5024
1637	L5033
1638	L5035
1639	L5037
1640	L5040
1641	L5047
1642	L5052
1643	L5057
1644	L5059
1645	L5065
1646	L5069
1647	L5072
1648	L5075
1649	L5079
1650	L5084
1651	L5086
1652	L5089
1653	L5090
1654	L5093
1655	L5094
1656	L5096
1657	L5097
1658	L5104
1659	L5112
1660	L5113
1661	L5115
1662	L5116
1663	L5118
1664	L5119
1665	L5124
1666	L5125
1667	L5126
1668	L5130
1669	L5132
1670	L5137
1671	L5138
1672	L5139
1673	L5143
1674	L5144
1675	L5151
1676	L5155
1677	L5157
1678	L5160
1679	L5166
1680	L5168
1681	L5169
1682	L5170
1683	L5172
1684	L5173
1685	L5174
1686	L5176
1687	L5177
1688	L5180
1689	L5184
1690	L5185
1691	L5188
1692	L5192
1693	L5194
1694	L5195
1695	L5199
1696	L5202
1697	L5203
1698	L5211
1699	L5217
1700	L5218
1701	L5219
1702	L5220
1703	L5222
1704	L5225
1705	L5226
1706	L5227
1707	L5228
1708	L5231
1709	L5232
1710	L5240
1711	L5244
1712	L5246
1713	L5247
1714	L5249
1715	L5253
1716	L5255
1717	L5257
1718	L5259
1719	L5263
1720	L5264
1721	L5266
1722	L5267
1723	L5275
1724	L5276
1725	L5280
1726	L5281
1727	L5282
1728	L5286
1729	L5287
1730	L5290
1731	L5296
1732	L5300
1733	L5302
1734	L5304
1735	L5305
1736	L5306
1737	L5307
1738	L5309
1739	L5310
1740	L5312
1741	L5320
1742	L5323
1743	L5325
1744	L5332
1745	L5334
1746	L5335
1747	L5340
1748	L5341
1749	L5344
1750	L5346
1751	L5347
1752	L5348
1753	L5349
1754	L5357
1755	L5358
1756	L5359
1757	L5360
1758	L5362
1759	L5363
1760	L5364
1761	L5367
1762	L5371
1763	L5373
1764	L5374
1765	L5382
1766	L5383
1767	L5385
1768	L5387
1769	L5395
1770	L5403
1771	L5404
1772	L5411
1773	L5415
1774	L5419
1775	L5427
1776	L5429
1777	L5434
1778	L5440
1779	L5441
1780	L5442
1781	L5447
1782	L5448
1783	L5453
1784	L5455
1785	L5461
1786	L5463
1787	L5465
1788	L5472
1789	L5473
1790	L5474
1791	L5475
1792	L5483
1793	L5484
1794	L5487
1795	L5489
1796	L5491
1797	L5492
1798	L5497
1799	L5498
1800	L5502
1801	L5503
1802	L5505
1803	L5507
1804	L5511
1805	L5512
1806	L5513
1807	L5515
1808	L5518
1809	L5520
1810	L5525
1811	L5528
1812	L5538
1813	L5541
1814	L5543
1815	L5545
1816	L5546
1817	L5549
1818	L5551
1819	L5558
1820	L5560
1821	L5562
1822	L5565
1823	L5567
1824	L5570
1825	L5571
1826	L5576
1827	L5577
1828	L5578
1829	L5580
1830	L5585
1831	L5586
1832	L5587
1833	L5589
1834	L5590
1835	L5597
1836	L5598
1837	L5600
1838	L5602
1839	L5604
1840	L5606
1841	L5611
1842	L5613
1843	L5614
1844	L5615
1845	L5618
1846	L5620
1847	L5624
1848	L5627
1849	L5632
1850	L5642
1851	L5644
1852	L5646
1853	L5650
1854	L5654
1855	L5657
1856	L5663
1857	L5664
1858	L5667
1859	L5680
1860	L5684
1861	L5685
1862	L5687
1863	L5693
1864	L5694
1865	L5695
1866	L5698
1867	L5700
1868	L5702
1869	L5704
1870	L5709
1871	L5711
1872	L5713
1873	L5716
1874	L5717
1875	L5718
1876	L5723
1877	L5725
1878	L5726
1879	L5728
1880	L5731
1881	L5735
1882	L5737
1883	L5741
1884	L5753
1885	L5755
1886	L5756
1887	L5764
1888	L5765
1889	L5780
1890	L5784
1891	L5786
1892	L5792
1893	L5809
1894	L5811
1895	L5817
1896	L5818
1897	L5819
1898	L5824
1899	L5825
1900	L5834
1901	L5836
1902	L5843
1903	L5847
1904	L5856
1905	L5857
1906	L5858
1907	L5864
1908	L5866
1909	L5867
1910	L5876
1911	L5878
1912	L5881
1913	L5884
1914	L5887
1915	L5888
1916	L5890
1917	L5892
1918	L5894
1919	L5895
1920	L5896
1921	L5899
1922	L5901
1923	L5904
1924	L5907
1925	L5913
1926	L5916
1927	L5936
1928	L5938
1929	L5939
1930	L5954
1931	L5960
1932	L5961
1933	L5962
1934	L5963
1935	L5965
1936	L5971
1937	L5972
1938	L5977
1939	L5978
1940	L5980
1941	L5985
1942	L5987
1943	L5990
1944	L5992
1945	L5996
1946	L5998
1947	L5999
1948	L6004
1949	L6009
1950	L6010
1951	L6012
1952	L6014
1953	L6016
1954	L6021
1955	L6027
1956	L6030
1957	L6033
1958	L6040
1959	L6045
1960	L6051
1961	L6053
1962	L6055
1963	L6057
1964	L6062
1965	L6063
1966	L6066
1967	L6067
1968	L6070
1969	L6079
1970	L6083
1971	L6086
1972	L6097
1973	L6098
1974	L6100
1975	L6101
1976	L6104
1977	L6105
1978	L6107
1979	L6111
1980	L6112
1981	L6114
1982	L6115
1983	L6118
1984	L6122
1985	L6128
1986	L6132
1987	L6133
1988	L6134
1989	L6135
1990	L6136
1991	L6138
1992	L6139
1993	L6140
1994	L6141
1995	L6143
1996	L6146
1997	L6148
1998	L6149
1999	L6151
2000	L6155
2001	L6157
2002	L6158
2003	L6159
2004	L6160
2005	L6166
2006	L6167
2007	L6177
2008	L6178
2009	L6180
2010	L6181
2011	L6182
2012	L6184
2013	L6187
2014	L6189
2015	L6195
2016	L6196
2017	L6199
2018	L6200
2019	L6201
2020	L6202
2021	L6204
2022	L6207
2023	L6212
2024	L6216
2025	L6218
2026	L6222
2027	L6228
2028	L6229
2029	L6233
2030	L6243
2031	L6246
2032	L6247
2033	L6250
2034	L6251
2035	L6263
2036	L6268
2037	L6273
2038	L6275
2039	L6277
2040	L6280
2041	L6283
2042	L6287
2043	L6291
2044	L6292
2045	L6296
2046	L6301
2047	L6308
2048	L6312
2049	L6317
2050	L6318
2051	L6324
2052	L6325
2053	L6328
2054	L6332
2055	L6333
2056	L6336
2057	L6343
2058	L6345
2059	L6347
2060	L6349
2061	L6350
2062	L6355
2063	L6356
2064	L6359
2065	L6360
2066	L6364
2067	L6365
2068	L6368
2069	L6371
2070	L6373
2071	L6374
2072	L6379
2073	L6381
2074	L6383
2075	L6385
2076	L6386
2077	L6387
2078	L6388
2079	L6392
2080	L6394
2081	L6396
2082	L6399
2083	L6402
2084	L6409
2085	L6410
2086	L6413
2087	L6414
2088	L6416
2089	L6420
2090	L6425
2091	L6427
2092	L6431
2093	L6432
2094	L6434
2095	L6437
2096	L6438
2097	L6440
2098	L6441
2099	L6442
2100	L6445
2101	L6447
2102	L6449
2103	L6452
2104	L6455
2105	L6456
2106	L6457
2107	L6461
2108	L6463
2109	L6468
2110	L6470
2111	L6471
2112	L6475
2113	L6476
2114	L6480
2115	L6482
2116	L6488
2117	L6489
2118	L6497
2119	L6498
2120	L6501
2121	L6504
2122	L6506
2123	L6507
2124	L6508
2125	L6512
2126	L6514
2127	L6524
2128	L6526
2129	L6529
2130	L6530
2131	L6531
2132	L6532
2133	L6533
2134	L6536
2135	L6537
2136	L6538
2137	L6546
2138	L6550
2139	L6551
2140	L6552
2141	L6558
2142	L6564
2143	L6565
2144	L6567
2145	L6572
2146	L6573
2147	L6575
2148	L6581
2149	L6588
2150	L6589
2151	L6592
2152	L6596
2153	L6600
2154	L6601
2155	L6602
2156	L6606
2157	L6607
2158	L6608
2159	L6609
2160	L6611
2161	L6617
2162	L6618
2163	L6620
2164	L6623
2165	L6624
2166	L6626
2167	L6628
2168	L6629
2169	L6634
2170	L6648
2171	L6651
2172	L6656
