lind	locus
1530	L21354
1531	L21359
1532	L21373
1533	L21384
1534	L21392
1535	L21394
1536	L21396
1537	L21425
1538	L21466
1539	L21474
1540	L21484
1541	L21497
1542	L21503
1543	L21506
1544	L21512
1545	L21514
1546	L21518
1547	L21519
1548	L21536
1549	L21543
1550	L21551
1551	L21554
1552	L21559
1553	L21561
1554	L21569
1555	L21595
1556	L21600
1557	L21604
1558	L21612
1559	L21632
1560	L21640
1561	L21666
1562	L21678
1563	L21696
1564	L21710
1565	L21718
1566	L21732
1567	L21735
1568	L21762
1569	L21788
1570	L21796
1571	L21820
1572	L21836
1573	L21852
1574	L21864
1575	L21866
1576	L21898
1577	L21900
1578	L21927
1579	L21935
1580	L21936
1581	L21943
1582	L21946
1583	L21950
1584	L21953
1585	L21963
1586	L21965
1587	L21970
1588	L21977
1589	L21981
1590	L21994
1591	L21999
1592	L22021
1593	L22025
1594	L22031
1595	L22065
1596	L22094
1597	L22108
1598	L22112
1599	L22118
1600	L22164
1601	L22177
1602	L22187
1603	L22188
1604	L22214
1605	L22226
1606	L22228
1607	L22233
1608	L22240
1609	L22260
1610	L22298
1611	L22311
1612	L22315
1613	L22333
1614	L22338
1615	L22343
1616	L22354
1617	L22364
1618	L22367
1619	L22370
1620	L22375
1621	L22389
1622	L22393
1623	L22398
1624	L22410
1625	L22412
1626	L22454
1627	L22499
1628	L22517
1629	L22539
1630	L22545
1631	L22558
1632	L22597
1633	L22599
1634	L22628
1635	L22633
1636	L22648
1637	L22652
1638	L22670
1639	L22688
1640	L22689
1641	L22708
1642	L22731
1643	L22736
1644	L22759
1645	L22763
1646	L22772
1647	L22798
1648	L22802
1649	L22805
1650	L22809
1651	L22818
1652	L22822
1653	L22844
1654	L22846
1655	L22857
1656	L22862
1657	L22873
1658	L22875
1659	L22879
1660	L22881
1661	L22885
1662	L22898
1663	L22901
1664	L22908
1665	L22920
1666	L22931
1667	L22938
1668	L22946
1669	L22967
1670	L22977
1671	L22984
1672	L22988
1673	L22989
1674	L23011
1675	L23028
1676	L23031
1677	L23062
1678	L23066
1679	L23072
1680	L23076
1681	L23124
1682	L23139
1683	L23143
1684	L23158
1685	L23182
1686	L23186
1687	L23203
1688	L23214
1689	L23224
1690	L23247
1691	L23255
1692	L23256
1693	L23269
1694	L23273
1695	L23278
1696	L23285
1697	L23296
1698	L23303
1699	L23304
1700	L23311
1701	L23314
1702	L23336
1703	L23340
1704	L23352
1705	L23386
1706	L23404
1707	L23407
1708	L23415
1709	L23428
1710	L23440
1711	L23444
1712	L23448
1713	L23457
1714	L23476
1715	L23483
1716	L23484
1717	L23503
1718	L23519
1719	L23531
1720	L23536
1721	L23539
1722	L23553
1723	L23581
1724	L23598
1725	L23607
1726	L23616
1727	L23619
1728	L23621
1729	L23624
1730	L23626
1731	L23632
1732	L23641
1733	L23656
1734	L23657
1735	L23704
1736	L23710
1737	L23722
1738	L23732
1739	L23737
1740	L23739
1741	L23750
1742	L23753
1743	L23782
1744	L23784
1745	L23792
1746	L23799
1747	L23818
1748	L23827
1749	L23835
1750	L23837
1751	L23844
1752	L23848
1753	L23851
1754	L23858
1755	L23865
1756	L23881
1757	L23885
1758	L23912
1759	L23915
1760	L23935
1761	L23945
1762	L23957
1763	L23960
1764	L23989
1765	L23994
1766	L24002
1767	L24054
1768	L24070
1769	L24072
1770	L24075
1771	L24078
1772	L24089
1773	L24095
1774	L24103
1775	L24108
1776	L24117
1777	L24123
1778	L24126
1779	L24133
1780	L24135
1781	L24146
1782	L24154
1783	L24174
1784	L24180
1785	L24187
1786	L24214
1787	L24233
1788	L24237
1789	L24249
1790	L24280
1791	L24292
1792	L24298
1793	L24308
1794	L24309
1795	L24332
1796	L24340
1797	L24341
1798	L24347
1799	L24363
1800	L24368
1801	L24385
1802	L24403
1803	L24406
1804	L24454
1805	L24468
1806	L24470
1807	L24485
1808	L24506
1809	L24508
1810	L24512
1811	L24544
1812	L24570
1813	L24573
1814	L24580
1815	L24586
1816	L24588
1817	L24593
1818	L24605
1819	L24612
1820	L24632
1821	L24644
1822	L24651
1823	L24659
1824	L24663
1825	L24675
1826	L24678
1827	L24724
1828	L24730
1829	L24747
1830	L24801
1831	L24819
1832	L24822
1833	L24865
1834	L24867
1835	L24870
1836	L24891
1837	L24893
1838	L24913
1839	L24914
1840	L24935
1841	L24939
1842	L24958
1843	L24960
1844	L24962
1845	L24965
1846	L24980
1847	L24984
1848	L24986
1849	L24992
1850	L25005
1851	L25016
1852	L25033
1853	L25037
1854	L25047
1855	L25057
1856	L25058
1857	L25074
1858	L25090
1859	L25091
1860	L25092
1861	L25094
1862	L25098
1863	L25109
1864	L25122
1865	L25128
1866	L25134
1867	L25136
1868	L25146
1869	L25153
1870	L25155
1871	L25167
1872	L25174
1873	L25185
1874	L25205
1875	L25206
1876	L25210
1877	L25230
1878	L25238
1879	L25266
1880	L25272
1881	L25287
1882	L25290
1883	L25298
1884	L25305
1885	L25312
1886	L25336
1887	L25338
1888	L25341
1889	L25372
1890	L25377
1891	L25382
1892	L25386
1893	L25403
1894	L25419
1895	L25420
1896	L25423
1897	L25429
1898	L25445
1899	L25486
1900	L25503
1901	L25508
1902	L25509
1903	L25519
1904	L25521
1905	L25523
1906	L25538
1907	L25548
1908	L25552
1909	L25564
1910	L25570
1911	L25578
1912	L25601
1913	L25614
1914	L25632
1915	L25638
1916	L25641
1917	L25648
1918	L25653
1919	L25656
1920	L25673
1921	L25679
1922	L25719
1923	L25724
1924	L25758
1925	L25761
1926	L25762
1927	L25783
1928	L25803
1929	L25805
1930	L25819
1931	L25824
1932	L25826
1933	L25837
1934	L25859
1935	L25870
1936	L25885
1937	L25886
1938	L25889
1939	L25891
1940	L25897
1941	L25912
1942	L25916
1943	L25940
1944	L25943
1945	L25955
1946	L25971
1947	L25973
1948	L25997
1949	L25999
1950	L26002
1951	L26008
1952	L26027
1953	L26033
1954	L26043
1955	L26044
1956	L26074
1957	L26075
1958	L26076
1959	L26109
1960	L26121
1961	L26143
1962	L26151
1963	L26160
1964	L26162
1965	L26164
1966	L26182
1967	L26194
1968	L26229
1969	L26231
1970	L26240
1971	L26255
1972	L26260
1973	L26276
1974	L26290
1975	L26294
1976	L26300
1977	L26313
1978	L26320
1979	L26323
1980	L26335
1981	L26337
1982	L26339
1983	L26345
1984	L26355
1985	L26361
1986	L26366
1987	L26376
1988	L26381
1989	L26411
1990	L26428
1991	L26452
1992	L26459
1993	L26480
1994	L26501
1995	L26504
1996	L26550
1997	L26552
1998	L26556
1999	L26566
2000	L26613
2001	L26675
2002	L26738
2003	L26747
2004	L26748
2005	L26749
2006	L26754
2007	L26764
2008	L26769
2009	L26775
2010	L26780
2011	L26784
2012	L26787
2013	L26790
2014	L26791
2015	L26794
2016	L26796
2017	L26808
2018	L26813
2019	L26817
2020	L26820
2021	L26833
2022	L26846
2023	L26852
2024	L26860
2025	L26865
2026	L26868
2027	L26910
2028	L26941
2029	L26961
2030	L26972
2031	L26985
2032	L26987
2033	L26988
2034	L26990
2035	L26997
2036	L27004
2037	L27014
2038	L27018
2039	L27046
2040	L27050
2041	L27078
2042	L27087
2043	L27088
2044	L27091
2045	L27123
2046	L27143
2047	L27151
2048	L27171
2049	L27194
2050	L27198
2051	L27212
2052	L27218
2053	L27227
2054	L27236
2055	L27238
2056	L27247
2057	L27251
2058	L27252
2059	L27257
2060	L27264
2061	L27268
2062	L27269
2063	L27271
2064	L27274
2065	L27294
2066	L27302
2067	L27304
2068	L27315
2069	L27328
2070	L27375
2071	L27382
2072	L27396
2073	L27402
2074	L27404
2075	L27405
2076	L27406
2077	L27412
2078	L27430
2079	L27457
2080	L27464
2081	L27514
2082	L27518
2083	L27522
2084	L27542
2085	L27546
2086	L27557
2087	L27564
2088	L27569
2089	L27586
2090	L27598
2091	L27600
2092	L27613
2093	L27617
2094	L27632
2095	L27634
2096	L27664
2097	L27676
2098	L27705
2099	L27706
2100	L27726
2101	L27733
2102	L27738
2103	L27743
2104	L27752
2105	L27769
2106	L27776
2107	L27777
2108	L27788
2109	L27792
2110	L27816
2111	L27817
2112	L27829
2113	L27830
2114	L27843
2115	L27884
2116	L27906
2117	L27910
2118	L27911
2119	L27933
2120	L27950
2121	L27953
2122	L27968
2123	L27972
2124	L27986
2125	L27987
2126	L27989
2127	L27997
2128	L28000
2129	L28008
2130	L28049
2131	L28051
2132	L28071
2133	L28072
2134	L28106
2135	L28126
2136	L28142
2137	L28150
2138	L28153
2139	L28156
2140	L28160
2141	L28165
2142	L28166
2143	L28167
2144	L28179
2145	L28205
2146	L28217
2147	L28227
