lind	locus
2036	L29396
2037	L29429
2038	L29430
2039	L29452
2040	L29455
2041	L29462
2042	L29469
2043	L29475
2044	L29498
2045	L29527
2046	L29538
2047	L29544
2048	L29572
2049	L29578
2050	L29607
2051	L29608
2052	L29624
2053	L29632
2054	L29633
2055	L29642
2056	L29653
2057	L29664
2058	L29706
2059	L29719
2060	L29729
2061	L29731
2062	L29761
2063	L29771
2064	L29778
2065	L29787
2066	L29802
2067	L29827
2068	L29828
2069	L29853
2070	L29868
2071	L29869
2072	L29872
2073	L29878
2074	L29882
2075	L29895
2076	L29928
2077	L29947
2078	L29948
2079	L29949
2080	L29950
2081	L29967
2082	L29991
2083	L29993
2084	L29995
2085	L29999
2086	L30007
2087	L30020
2088	L30024
2089	L30025
2090	L30043
2091	L30091
2092	L30106
2093	L30135
2094	L30138
2095	L30169
2096	L30195
2097	L30237
2098	L30241
2099	L30257
2100	L30262
2101	L30266
2102	L30275
2103	L30294
2104	L30298
2105	L30306
2106	L30326
2107	L30335
2108	L30371
2109	L30377
2110	L30390
2111	L30418
2112	L30426
2113	L30455
2114	L30463
2115	L30489
2116	L30498
2117	L30505
2118	L30515
2119	L30526
2120	L30537
2121	L30538
2122	L30566
2123	L30567
2124	L30568
2125	L30602
2126	L30614
2127	L30636
2128	L30654
2129	L30673
2130	L30681
2131	L30692
2132	L30695
2133	L30726
2134	L30744
2135	L30775
2136	L30780
2137	L30824
2138	L30826
2139	L30839
2140	L30852
2141	L30855
2142	L30878
2143	L30883
2144	L30900
2145	L30910
2146	L30931
2147	L30932
