lind	locus
1240	L3996
1241	L4000
1242	L4001
1243	L4002
1244	L4003
1245	L4007
1246	L4008
1247	L4012
1248	L4013
1249	L4015
1250	L4023
1251	L4024
1252	L4025
1253	L4027
1254	L4028
1255	L4029
1256	L4034
1257	L4036
1258	L4037
1259	L4040
1260	L4042
1261	L4044
1262	L4049
1263	L4051
1264	L4059
1265	L4066
1266	L4067
1267	L4072
1268	L4073
1269	L4082
1270	L4084
1271	L4087
1272	L4093
1273	L4094
1274	L4095
1275	L4096
1276	L4099
1277	L4106
1278	L4108
1279	L4109
1280	L4112
1281	L4120
1282	L4127
1283	L4129
1284	L4130
1285	L4131
1286	L4136
1287	L4145
1288	L4146
1289	L4148
1290	L4149
1291	L4151
1292	L4152
1293	L4153
1294	L4154
1295	L4156
1296	L4158
1297	L4159
1298	L4166
1299	L4169
1300	L4170
1301	L4171
1302	L4176
1303	L4177
1304	L4184
1305	L4185
1306	L4186
1307	L4191
1308	L4192
1309	L4196
1310	L4202
1311	L4203
1312	L4204
1313	L4205
1314	L4207
1315	L4210
1316	L4211
1317	L4213
1318	L4214
1319	L4216
1320	L4218
1321	L4225
1322	L4226
1323	L4234
1324	L4235
1325	L4238
1326	L4239
1327	L4242
1328	L4243
1329	L4246
1330	L4248
1331	L4249
1332	L4250
1333	L4251
1334	L4254
1335	L4257
1336	L4258
1337	L4260
1338	L4268
1339	L4270
1340	L4274
1341	L4276
1342	L4283
1343	L4284
1344	L4285
1345	L4289
1346	L4290
1347	L4293
1348	L4294
1349	L4303
1350	L4304
1351	L4308
1352	L4310
1353	L4326
1354	L4329
1355	L4330
1356	L4331
1357	L4339
1358	L4341
1359	L4344
1360	L4346
1361	L4347
1362	L4355
1363	L4358
1364	L4359
1365	L4361
1366	L4363
1367	L4364
1368	L4367
1369	L4372
1370	L4373
1371	L4375
1372	L4377
1373	L4380
1374	L4384
1375	L4386
1376	L4394
1377	L4396
1378	L4397
1379	L4398
1380	L4404
1381	L4407
1382	L4410
1383	L4411
1384	L4412
1385	L4415
1386	L4417
1387	L4422
1388	L4423
1389	L4435
1390	L4436
1391	L4438
1392	L4440
1393	L4443
1394	L4447
1395	L4453
1396	L4456
1397	L4461
1398	L4468
1399	L4470
1400	L4471
1401	L4475
1402	L4477
1403	L4480
1404	L4482
1405	L4484
1406	L4485
1407	L4495
1408	L4501
1409	L4509
1410	L4517
1411	L4521
1412	L4523
1413	L4524
1414	L4527
1415	L4535
1416	L4536
1417	L4542
1418	L4543
1419	L4550
1420	L4553
1421	L4560
1422	L4563
1423	L4577
1424	L4579
1425	L4581
1426	L4582
1427	L4584
1428	L4586
1429	L4588
1430	L4590
1431	L4591
1432	L4592
1433	L4594
1434	L4595
1435	L4599
1436	L4601
1437	L4602
1438	L4604
1439	L4606
1440	L4609
1441	L4610
1442	L4612
1443	L4613
1444	L4617
1445	L4622
1446	L4623
1447	L4625
1448	L4633
1449	L4634
1450	L4636
1451	L4637
1452	L4638
1453	L4639
1454	L4641
1455	L4645
1456	L4650
1457	L4653
1458	L4655
1459	L4658
1460	L4660
1461	L4662
1462	L4668
1463	L4671
1464	L4683
1465	L4684
1466	L4687
1467	L4697
1468	L4698
1469	L4708
1470	L4712
1471	L4716
1472	L4720
1473	L4724
1474	L4726
1475	L4727
1476	L4736
1477	L4738
1478	L4739
1479	L4742
1480	L4745
1481	L4748
1482	L4754
1483	L4757
1484	L4759
1485	L4761
1486	L4764
1487	L4772
1488	L4775
1489	L4779
1490	L4780
1491	L4784
1492	L4790
1493	L4793
1494	L4797
1495	L4803
1496	L4806
1497	L4810
1498	L4811
1499	L4813
1500	L4816
1501	L4818
1502	L4821
1503	L4826
1504	L4828
1505	L4829
1506	L4830
1507	L4835
1508	L4843
1509	L4853
1510	L4855
1511	L4856
1512	L4857
1513	L4859
1514	L4860
1515	L4865
1516	L4867
1517	L4870
1518	L4872
1519	L4879
1520	L4883
1521	L4884
1522	L4885
1523	L4894
1524	L4909
1525	L4913
1526	L4915
1527	L4921
1528	L4923
1529	L4929
1530	L4935
1531	L4946
1532	L4950
1533	L4953
1534	L4965
1535	L4966
1536	L4967
1537	L4970
1538	L4972
1539	L4973
1540	L4975
1541	L4977
1542	L4979
1543	L4980
1544	L4983
1545	L4984
1546	L4985
