pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X03b	X06u	0.6066	0.5153	0.7088	0.8078	0.2543	-23.940556	132.978056	-23.956944	133.245556	27289.793338984	-0.0163879999999992	X03	X06	0
X03b	X07b	0.6837	0.6069	0.858	0.9117	0.4031	-23.940556	132.978056	-23.907778	133.330833	36099.6895164403	0.0327780000000004	X03	X07	0
X03b	X07u	0.6402	0.4931	0.6884	0.7913	0.2473	-23.940556	132.978056	-23.907778	133.330833	36099.6895164403	0.0327780000000004	X03	X07	0
X03b	X08b	0.7576	0.6458	0.8783	0.926	0.4313	-23.940556	132.978056	-23.846111	133.454167	49600.5147956005	0.0944450000000003	X03	X08	0
X03b	X08u	0.3642	0.2668	0.4446	0.5616	0.1603	-23.940556	132.978056	-23.845833	133.453611	49551.7296147564	0.0947230000000019	X03	X08	0
X03b	X10b	0.6801	0.536	0.7248	0.8208	0.2626	-23.940556	132.978056	-23.768056	133.626111	68723.7558695763	0.172499999999999	X03	X10	0
X03b	X10u	0.3156	0.2364	0.4046	0.5185	0.1419	-23.940556	132.978056	-23.768333	133.626389	68742.3721400383	0.172223000000002	X03	X10	0
X03b	X11b1	-0.2512	-0.0043	-0.0069	-0.0112	-1e-04	-23.940556	132.978056	-23.916858	132.735055	24878.2273998096	0.0236979999999996	X03	X11	0
X03b	X11b2	-0.1177	0.0293	0.0517	0.0787	3e-04	-23.940556	132.978056	-23.916858	132.735055	24878.2273998096	0.0236979999999996	X03	X11	0
X03b	X11b3	-0.0777	0.074	0.1238	0.1842	NA	-23.940556	132.978056	-23.916858	132.735055	24878.2273998096	0.0236979999999996	X03	X11	0
X03u	X05b	0.0125	-0.0153	-0.0169	-0.0328	-1e-04	-23.940278	132.977778	-23.965	133.153333	18078.1283657634	-0.0247220000000006	X03	X05	0
X03u	X05u	0.0328	0.0083	0.0092	0.0174	0	-23.940278	132.977778	-23.966389	133.153333	18101.9738970553	-0.0261110000000002	X03	X05	0
X03u	X06b	0.0124	-0.0081	-0.0091	-0.0174	0	-23.940278	132.977778	-23.9575	133.245833	27352.4203044174	-0.0172220000000003	X03	X06	0
X03u	X06u	0.941	0.8802	0.9617	0.9797	0.4649	-23.940278	132.977778	-23.956944	133.245556	27320.1211402256	-0.0166660000000007	X03	X06	0
X03u	X07b	0.9082	0.8066	0.9388	0.9661	0.4547	-23.940278	132.977778	-23.907778	133.330833	36124.80687939	0.0324999999999989	X03	X07	0
X03u	X07u	0.9205	0.8449	0.9475	0.9715	0.4527	-23.940278	132.977778	-23.907778	133.330833	36124.80687939	0.0324999999999989	X03	X07	0
X03u	X08b	0.9147	0.8287	0.9465	0.9708	0.4652	-23.940278	132.977778	-23.846111	133.454167	49621.758615573	0.0941669999999988	X03	X08	0
X03u	X08u	0.7178	0.584	0.7907	0.8679	0.3476	-23.940278	132.977778	-23.845833	133.453611	49572.9428224062	0.0944450000000003	X03	X08	0
X03u	X10b	0.9469	0.8915	0.9658	0.9819	0.4714	-23.940278	132.977778	-23.768056	133.626111	68742.4763425548	0.172221999999998	X03	X10	0
X03u	X10u	0.6852	0.5436	0.7565	0.8423	0.3291	-23.940278	132.977778	-23.768333	133.626389	68761.1129457186	0.171945000000001	X03	X10	0
X03u	X11b1	0.1845	0.1237	0.157	0.2498	0.0031	-23.940278	132.977778	-23.916858	132.735055	24846.8760020872	0.023419999999998	X03	X11	0
X03u	X11b2	0.3789	0.2523	0.3581	0.4874	0.0416	-23.940278	132.977778	-23.916858	132.735055	24846.8760020872	0.023419999999998	X03	X11	0
X03u	X11b3	0.5183	0.3442	0.455	0.5946	0.0404	-23.940278	132.977778	-23.916858	132.735055	24846.8760020872	0.023419999999998	X03	X11	0
X05b	X05u	0.0189	0.0084	0.0095	0.0177	0	-23.965	133.153333	-23.966389	133.153333	153.842478552072	-0.00138899999999964	X05	X05	1
X05b	X06b	0.005	0.0036	0.0041	0.0077	0	-23.965	133.153333	-23.9575	133.245833	9451.43005246337	0.00750000000000028	X05	X06	0
