lind	locus
1320	L5323
1321	L5325
1322	L5332
1323	L5334
1324	L5335
1325	L5340
1326	L5341
1327	L5344
1328	L5346
1329	L5347
1330	L5348
1331	L5349
1332	L5357
1333	L5358
1334	L5359
1335	L5360
1336	L5362
1337	L5363
1338	L5364
1339	L5373
1340	L5374
1341	L5383
1342	L5385
1343	L5387
1344	L5395
1345	L5404
1346	L5411
1347	L5415
1348	L5419
1349	L5427
1350	L5429
1351	L5434
1352	L5440
1353	L5441
1354	L5442
1355	L5448
1356	L5453
1357	L5455
1358	L5461
1359	L5463
1360	L5465
1361	L5472
1362	L5473
1363	L5483
1364	L5484
1365	L5489
1366	L5497
1367	L5498
1368	L5502
1369	L5503
1370	L5507
1371	L5512
1372	L5513
1373	L5515
1374	L5518
1375	L5520
1376	L5528
1377	L5543
1378	L5545
1379	L5546
1380	L5549
1381	L5551
1382	L5558
1383	L5560
1384	L5565
1385	L5567
1386	L5570
1387	L5571
1388	L5576
1389	L5577
1390	L5580
1391	L5585
1392	L5587
1393	L5590
1394	L5598
1395	L5602
1396	L5606
1397	L5611
1398	L5613
1399	L5614
1400	L5620
1401	L5624
1402	L5627
1403	L5632
1404	L5642
1405	L5644
1406	L5646
1407	L5657
1408	L5663
1409	L5664
1410	L5667
1411	L5684
1412	L5687
1413	L5694
1414	L5695
1415	L5700
1416	L5711
1417	L5716
1418	L5717
1419	L5718
1420	L5723
1421	L5725
1422	L5726
1423	L5731
1424	L5735
1425	L5741
1426	L5753
1427	L5755
1428	L5764
1429	L5765
1430	L5780
1431	L5784
1432	L5809
1433	L5817
1434	L5818
1435	L5819
1436	L5824
1437	L5825
1438	L5836
1439	L5843
1440	L5847
1441	L5856
1442	L5857
1443	L5858
1444	L5864
1445	L5866
1446	L5867
1447	L5878
1448	L5887
1449	L5888
1450	L5890
1451	L5892
1452	L5894
1453	L5896
1454	L5899
1455	L5901
1456	L5907
1457	L5913
1458	L5916
1459	L5936
1460	L5938
1461	L5939
1462	L5960
1463	L5961
1464	L5962
1465	L5963
1466	L5965
1467	L5971
1468	L5977
1469	L5978
1470	L5980
1471	L5987
1472	L5992
1473	L5996
1474	L5998
1475	L5999
1476	L6004
1477	L6009
1478	L6010
1479	L6012
1480	L6016
1481	L6021
1482	L6027
1483	L6030
1484	L6040
1485	L6053
1486	L6055
1487	L6057
1488	L6062
1489	L6063
1490	L6066
1491	L6083
1492	L6086
1493	L6097
1494	L6098
1495	L6100
1496	L6101
1497	L6104
1498	L6105
1499	L6111
1500	L6112
1501	L6115
1502	L6118
1503	L6122
1504	L6128
1505	L6133
1506	L6134
1507	L6135
1508	L6136
1509	L6138
1510	L6139
1511	L6140
1512	L6141
1513	L6149
1514	L6157
1515	L6158
1516	L6159
1517	L6160
1518	L6167
1519	L6177
1520	L6180
1521	L6181
1522	L6182
1523	L6189
1524	L6195
1525	L6196
1526	L6200
1527	L6201
1528	L6202
1529	L6204
1530	L6207
1531	L6212
1532	L6216
1533	L6218
1534	L6228
1535	L6229
1536	L6243
1537	L6246
1538	L6247
1539	L6263
1540	L6268
1541	L6273
1542	L6275
1543	L6277
1544	L6280
1545	L6283
1546	L6287
1547	L6291
1548	L6292
1549	L6296
1550	L6301
1551	L6308
1552	L6312
1553	L6317
1554	L6318
1555	L6324
1556	L6325
1557	L6328
1558	L6332
1559	L6333
1560	L6336
1561	L6347
1562	L6349
1563	L6350
1564	L6355
1565	L6356
1566	L6359
1567	L6360
1568	L6364
1569	L6365
1570	L6368
1571	L6371
1572	L6373
1573	L6374
1574	L6379
1575	L6381
1576	L6383
1577	L6386
1578	L6387
1579	L6392
1580	L6394
1581	L6402
1582	L6409
1583	L6410
1584	L6413
1585	L6414
1586	L6416
1587	L6420
1588	L6427
1589	L6432
1590	L6434
1591	L6437
1592	L6438
1593	L6440
1594	L6441
1595	L6442
1596	L6445
1597	L6447
1598	L6449
1599	L6452
1600	L6456
1601	L6457
1602	L6461
1603	L6463
1604	L6471
1605	L6476
1606	L6480
1607	L6482
1608	L6488
1609	L6489
1610	L6498
1611	L6501
1612	L6506
1613	L6507
1614	L6508
1615	L6512
1616	L6514
1617	L6526
1618	L6530
1619	L6531
1620	L6532
1621	L6533
1622	L6538
1623	L6546
1624	L6551
1625	L6552
1626	L6558
1627	L6564
1628	L6565
1629	L6567
1630	L6572
1631	L6573
1632	L6588
1633	L6589
1634	L6592
1635	L6596
1636	L6600
1637	L6601
1638	L6602
1639	L6607
1640	L6608
1641	L6611
1642	L6617
1643	L6618
1644	L6620
1645	L6623
1646	L6624
1647	L6626
1648	L6628
1649	L6629
1650	L6634
1651	L6648
1652	L6651
1653	L6656
1654	L6661
1655	L6662
1656	L6663
1657	L6664
1658	L6665
1659	L6666
1660	L6667
1661	L6668
1662	L6671
1663	L6675
1664	L6690
1665	L6693
1666	L6700
1667	L6701
1668	L6702
1669	L6707
1670	L6708
1671	L6709
1672	L6716
1673	L6719
1674	L6723
1675	L6728
1676	L6732
1677	L6735
1678	L6739
1679	L6740
1680	L6744
1681	L6746
1682	L6749
1683	L6753
1684	L6758
1685	L6760
1686	L6762
1687	L6766
1688	L6769
1689	L6773
1690	L6781
1691	L6782
1692	L6783
1693	L6784
1694	L6786
1695	L6788
1696	L6789
1697	L6791
1698	L6793
1699	L6794
1700	L6800
1701	L6804
1702	L6805
1703	L6807
1704	L6810
1705	L6811
1706	L6812
1707	L6832
1708	L6838
1709	L6844
1710	L6846
1711	L6847
1712	L6853
1713	L6857
1714	L6859
1715	L6863
1716	L6864
1717	L6866
1718	L6867
1719	L6876
1720	L6879
1721	L6883
1722	L6890
1723	L6891
1724	L6893
1725	L6897
1726	L6902
1727	L6903
1728	L6905
1729	L6911
1730	L6918
1731	L6919
1732	L6921
1733	L6923
1734	L6925
1735	L6926
1736	L6937
1737	L6950
1738	L6955
1739	L6961
1740	L6962
1741	L6963
1742	L6968
1743	L6970
1744	L6977
1745	L6982
1746	L6984
1747	L6985
1748	L6987
1749	L6989
1750	L6993
1751	L6996
1752	L7000
1753	L7003
1754	L7004
1755	L7007
1756	L7013
1757	L7018
1758	L7026
1759	L7031
1760	L7033
1761	L7034
1762	L7038
1763	L7039
1764	L7040
1765	L7046
1766	L7048
1767	L7050
1768	L7051
1769	L7053
1770	L7059
1771	L7063
1772	L7065
1773	L7066
1774	L7071
1775	L7074
1776	L7076
1777	L7077
1778	L7080
1779	L7083
1780	L7084
1781	L7096
1782	L7097
1783	L7110
1784	L7114
1785	L7115
1786	L7120
1787	L7121
1788	L7129
1789	L7132
1790	L7136
1791	L7138
1792	L7139
1793	L7141
1794	L7143
1795	L7145
1796	L7146
1797	L7148
1798	L7150
1799	L7158
1800	L7163
1801	L7165
1802	L7168
1803	L7173
1804	L7174
1805	L7178
1806	L7183
1807	L7193
1808	L7196
1809	L7197
1810	L7198
1811	L7201
1812	L7204
1813	L7208
1814	L7222
1815	L7229
1816	L7231
1817	L7234
1818	L7247
1819	L7253
1820	L7256
1821	L7257
1822	L7264
1823	L7268
1824	L7276
1825	L7280
1826	L7300
1827	L7302
1828	L7304
1829	L7309
1830	L7313
1831	L7315
1832	L7317
1833	L7320
1834	L7323
1835	L7330
1836	L7332
1837	L7341
1838	L7342
1839	L7344
1840	L7345
1841	L7347
1842	L7349
1843	L7352
1844	L7353
1845	L7358
1846	L7360
1847	L7367
1848	L7372
1849	L7373
1850	L7375
1851	L7384
1852	L7399
1853	L7408
1854	L7412
1855	L7413
1856	L7414
1857	L7415
1858	L7423
1859	L7426
1860	L7430
1861	L7432
1862	L7440
1863	L7444
1864	L7445
1865	L7446
1866	L7449
1867	L7450
1868	L7453
1869	L7454
1870	L7458
1871	L7463
1872	L7464
1873	L7465
1874	L7469
1875	L7474
1876	L7475
1877	L7480
1878	L7483
1879	L7485
1880	L7487
1881	L7491
1882	L7495
1883	L7498
1884	L7502
1885	L7507
1886	L7508
1887	L7510
1888	L7515
1889	L7516
1890	L7522
1891	L7529
1892	L7537
1893	L7550
1894	L7557
1895	L7561
1896	L7566
1897	L7574
1898	L7579
1899	L7584
1900	L7589
1901	L7590
1902	L7597
1903	L7616
1904	L7618
1905	L7620
1906	L7630
1907	L7654
1908	L7659
1909	L7661
1910	L7664
1911	L7670
1912	L7671
1913	L7674
1914	L7675
1915	L7679
1916	L7681
1917	L7685
1918	L7687
1919	L7689
1920	L7692
1921	L7694
1922	L7697
1923	L7699
1924	L7703
1925	L7704
1926	L7712
1927	L7714
1928	L7720
1929	L7724
1930	L7742
1931	L7743
1932	L7746
1933	L7748
1934	L7752
1935	L7756
1936	L7757
1937	L7763
1938	L7765
1939	L7767
1940	L7768
1941	L7774
1942	L7780
1943	L7781
1944	L7790
1945	L7791
1946	L7795
1947	L7796
1948	L7797
1949	L7798
1950	L7808
1951	L7811
1952	L7812
1953	L7818
1954	L7822
1955	L7830
1956	L7832
1957	L7833
1958	L7834
1959	L7849
